GEO_ID,NAME,P9_001N,P9_002N,P9_003N,P9_004N,P9_005N,P9_006N,P9_007N,P9_008N,P9_009N,P9_010N,P9_011N
860Z200US01340,01340,1803,54,1749,1665,1643,9,0,9,0,4,84
860Z200US01341,01341,1539,23,1516,1485,1460,2,2,17,0,4,31
860Z200US01342,01342,1538,156,1382,1279,1179,63,1,24,3,9,103
860Z200US01343,01343,165,6,159,145,142,1,0,1,0,1,14
860Z200US01344,01344,1665,33,1632,1522,1496,7,9,4,0,6,110
860Z200US01346,01346,352,10,342,320,314,1,1,4,0,0,22
860Z200US01347,01347,204,9,195,183,171,10,0,0,0,2,12
860Z200US01349,01349,827,33,794,755,733,12,0,8,0,2,39
860Z200US01350,01350,118,2,116,109,105,2,0,2,0,0,7
860Z200US01351,01351,2293,46,2247,2145,2087,7,9,30,0,12,102
860Z200US01354,01354,1546,52,1494,1405,1353,16,4,23,2,7,89
860Z200US01355,01355,879,27,852,812,796,4,2,7,0,3,40
860Z200US01360,01360,2871,77,2794,2656,2619,6,5,15,0,11,138
860Z200US01364,01364,7665,315,7350,6935,6721,98,11,74,0,31,415
860Z200US01366,01366,1187,37,1150,1112,1087,3,0,4,0,18,38
860Z200US01367,01367,506,13,493,464,453,3,1,7,0,0,29
860Z200US01368,01368,1283,25,1258,1206,1189,4,1,9,0,3,52
860Z200US01370,01370,3932,124,3808,3652,3584,24,9,19,0,16,156
860Z200US01373,01373,4526,149,4377,4200,4087,33,5,63,0,12,177
860Z200US01375,01375,3639,204,3435,3272,2692,107,2,441,0,30,163
860Z200US01376,01376,5324,446,4878,4623,4451,80,12,51,0,29,255
860Z200US01378,01378,780,21,759,728,707,0,5,8,0,8,31
860Z200US01379,01379,774,26,748,701,675,10,0,8,0,8,47
860Z200US01380,01380,82,1,81,78,74,2,0,0,0,2,3
860Z200US01420,01420,41940,12611,29329,27421,22909,2579,80,1508,14,331,1908
860Z200US01430,01430,6303,195,6108,5858,5723,41,15,53,0,26,250
860Z200US01431,01431,3193,123,3070,2963,2913,18,3,16,1,12,107
860Z200US01432,01432,8221,514,7707,7212,6351,348,9,423,2,79,495
860Z200US01434,01434,1652,286,1366,1316,813,378,21,94,0,10,50
860Z200US01436,01436,3208,128,3080,2959,2879,45,3,17,3,12,121
860Z200US01438,01438,414,14,400,388,370,8,0,3,0,7,12
860Z200US01440,01440,21577,2376,19201,18219,16932,703,52,400,8,124,982
860Z200US01450,01450,11298,431,10867,10420,9637,137,9,579,3,55,447
860Z200US01451,01451,5461,163,5298,5079,4617,57,7,364,0,34,219
860Z200US01452,01452,4328,125,4203,4044,3965,17,9,29,0,24,159
860Z200US01453,01453,43752,8264,35488,33143,28018,2821,47,1380,9,868,2345
860Z200US01460,01460,10141,328,9813,9455,8428,128,12,826,4,57,358
860Z200US01462,01462,11818,674,11144,10595,10117,186,13,210,0,69,549
860Z200US01463,01463,11621,378,11243,10761,10275,138,16,234,1,97,482
860Z200US01464,01464,7427,780,6647,6322,5488,575,11,200,6,42,325
860Z200US01468,01468,4309,126,4183,4064,3978,44,1,23,0,18,119
860Z200US01469,01469,7055,312,6743,6469,6236,93,10,76,1,53,274
860Z200US01473,01473,8213,357,7856,7612,7387,86,10,93,0,36,244
860Z200US01474,01474,2072,89,1983,1872,1830,4,1,25,0,12,111
860Z200US01475,01475,10304,566,9738,9252,8935,133,6,139,2,37,486
860Z200US01501,01501,16731,878,15853,15222,14290,291,11,545,0,85,631
860Z200US01503,01503,3158,127,3031,2872,2796,18,0,38,3,17,159
860Z200US01504,01504,9208,371,8837,8500,8248,91,8,99,1,53,337
860Z200US01505,01505,4849,148,4701,4542,4210,28,7,250,0,47,159
860Z200US01506,01506,3439,122,3317,3175,3130,19,3,18,0,5,142
860Z200US01507,01507,13315,539,12776,12365,12039,118,13,143,3,49,411
860Z200US01510,01510,15428,2596,12832,11878,10943,387,23,237,0,288,954
860Z200US01515,01515,2224,95,2129,2058,2002,21,1,33,0,1,71
860Z200US01516,01516,8962,281,8681,8346,8146,57,9,85,2,47,335
860Z200US01518,01518,3176,158,3018,2875,2747,45,9,67,1,6,143
860Z200US01519,01519,7254,265,6989,6670,6117,103,7,403,0,40,319
860Z200US01520,01520,16394,665,15729,15219,14198,346,14,600,2,59,510
860Z200US01521,01521,2603,81,2522,2425,2372,12,8,30,0,3,97
860Z200US01522,01522,3464,162,3302,3154,3010,49,1,81,0,13,148
860Z200US01523,01523,8377,946,7431,7082,6290,561,13,148,0,70,349
860Z200US01524,01524,6621,411,6210,5953,5572,167,16,163,1,34,257
860Z200US01525,01525,73,2,71,66,66,0,0,0,0,0,5
860Z200US01527,01527,13799,625,13174,12637,11762,344,7,442,5,77,537
860Z200US01529,01529,3174,86,3088,2983,2915,26,0,26,0,16,105
860Z200US01531,01531,996,15,981,953,939,4,1,4,0,5,28
860Z200US01532,01532,15741,623,15118,14225,11922,219,19,1863,4,198,893
860Z200US01534,01534,6233,293,5940,5681,5471,79,6,93,0,32,259
860Z200US01535,01535,4735,195,4540,4352,4276,28,9,29,0,10,188
860Z200US01536,01536,7514,321,7193,6933,6018,172,3,688,0,52,260
860Z200US01537,01537,2141,113,2028,1949,1853,28,2,40,0,26,79
860Z200US01540,01540,11032,673,10359,9948,9606,169,11,108,1,53,411
860Z200US01541,01541,3495,107,3388,3266,3192,27,1,39,0,7,122
860Z200US01542,01542,2366,153,2213,2103,1978,57,2,56,0,10,110
860Z200US01543,01543,9049,390,8659,8332,7993,127,8,156,4,44,327
860Z200US01545,01545,38316,1610,36706,35006,24259,912,36,9418,5,376,1700
860Z200US01550,01550,17740,6409,11331,10829,10059,338,57,314,3,58,502
860Z200US01560,01560,4896,276,4620,4455,3468,98,0,843,0,46,165
860Z200US01561,01561,64,23,41,38,19,8,0,8,0,3,3
860Z200US01562,01562,11992,989,11003,10562,10157,238,27,92,8,40,441
860Z200US01564,01564,7985,297,7688,7431,7230,78,3,71,3,46,257
860Z200US01566,01566,6691,266,6425,6152,5880,91,8,130,12,31,273
860Z200US01568,01568,7900,267,7633,7303,6844,62,0,337,5,55,330
860Z200US01569,01569,14193,455,13738,13185,12782,108,19,167,4,105,553
860Z200US01570,01570,17776,2479,15297,14635,13462,702,35,323,4,109,662
860Z200US01571,01571,11921,1483,10438,10019,9617,188,16,140,0,58,419
860Z200US01581,01581,21567,1294,20273,19293,12980,449,22,5575,0,267,980
860Z200US01583,01583,7652,554,7098,6822,6369,245,5,147,0,56,276
860Z200US01585,01585,4899,167,4732,4546,4471,26,2,31,0,16,186
860Z200US01588,01588,10106,535,9571,9107,8821,118,8,113,2,45,464
860Z200US01590,01590,9279,253,9026,8683,8464,76,5,98,2,38,343
860Z200US01602,01602,25382,3339,22043,21028,16901,2387,35,1502,3,200,1015
860Z200US01603,01603,22417,6449,15968,15052,9096,2866,23,2814,6,247,916
860Z200US01604,01604,41301,9070,32231,30083,20257,6233,78,2721,3,791,2148
860Z200US01605,01605,29218,9002,20216,18923,11582,5110,41,1786,7,397,1293
860Z200US01606,01606,21651,2805,18846,17883,13780,2688,44,1017,7,347,963
860Z200US01607,01607,9378,2094,7284,6837,4171,2065,8,431,1,161,447
860Z200US01608,01608,4996,1882,3114,2955,1690,768,10,452,0,35,159
860Z200US01609,01609,23870,5030,18840,17978,13939,2304,49,1508,8,170,862
860Z200US01610,01610,28717,11112,17605,16616,9934,3987,48,2340,13,294,989
860Z200US01611,01611,2277,267,2010,1873,1648,155,1,39,1,29,137
860Z200US01612,01612,5051,307,4744,4576,4283,176,8,71,0,38,168
860Z200US01701,01701,33005,2652,30353,28326,23177,1505,29,2675,7,933,2027
860Z200US01702,01702,39515,9525,29990,25704,15781,2756,55,2579,10,4523,4286
860Z200US01718,01718,688,28,660,625,359,38,2,223,0,3,35
860Z200US01719,01719,5506,218,5288,5039,3694,119,1,1186,1,38,249
860Z200US01720,01720,23232,879,22353,21312,14746,530,15,5790,4,227,1041
860Z200US01721,01721,18832,1157,17675,16543,12891,514,29,2458,2,649,1132
860Z200US01730,01730,14566,510,14056,13460,10696,374,15,2312,0,63,596
860Z200US01731,01731,1555,314,1241,1115,890,154,4,42,8,17,126
860Z200US01740,01740,5665,149,5516,5237,4903,16,0,269,0,49,279
860Z200US01741,01741,5237,166,5071,4789,4129,35,0,594,2,29,282
860Z200US01742,01742,18545,870,17675,16896,15163,466,2,1171,4,90,779
860Z200US01745,01745,433,19,414,402,322,1,0,60,0,19,12
860Z200US01746,01746,14996,512,14484,13900,12621,172,7,931,2,167,584
860Z200US01747,01747,6017,264,5753,5508,5279,48,6,106,0,69,245
860Z200US01748,01748,18758,733,18025,17387,13733,183,8,3342,1,120,638
860Z200US01749,01749,20092,1263,18829,17299,15797,365,9,576,3,549,1530
860Z200US01752,01752,41793,6631,35162,31150,24696,1294,50,2450,3,2657,4012
860Z200US01754,01754,10730,597,10133,9616,8911,210,6,363,1,125,517
860Z200US01756,01756,6228,181,6047,5833,5644,39,5,105,0,40,214
860Z200US01757,01757,30479,3749,26730,23551,20129,689,32,677,1,2023,3179
860Z200US01760,01760,36659,1740,34919,33351,27749,758,42,4394,1,407,1568
860Z200US01770,01770,4401,149,4252,3995,3594,27,2,335,1,36,257
860Z200US01772,01772,10017,354,9663,9229,7564,105,3,1458,7,92,434
860Z200US01773,01773,5651,236,5415,5122,4536,79,8,435,4,60,293
860Z200US01775,01775,7190,259,6931,6584,6161,65,3,311,0,44,347
860Z200US01776,01776,18934,687,18247,17383,15321,239,2,1697,5,119,864
860Z200US01778,01778,14132,557,13575,12949,10836,131,8,1903,6,65,626
860Z200US01801,01801,40891,2606,38285,36170,29750,2160,36,3460,6,758,2115
860Z200US01803,01803,26074,1003,25071,24283,18299,1203,15,4608,2,156,788
860Z200US01810,01810,35621,1985,33636,32339,25960,689,18,5496,3,173,1297
